,places,doc_id
856,Mose-gaarden,662
857,Fod,662
858,Viby,662
859,Viby,662
860,Aarhus,666
861,Aarhus,667
862,København,667
863,Aarhus,668
864,Danmark,668
865,Aarhus,669
866,Aarhus,669
867,Højvang,669
868,Aarhus,677
869,Skanderborg-Aarhus,678
870,Aarhus Borgerskoler,681
871,Skovvangsskolen,681
872,Skovvangsskolen,681
873,Aarhus Borgerskoler,681
874,Viborgvej,681
875,Randers,681
876,Nærheden,681
877,Ringgaden,681
878,Skovvangsskolens Grund,681
879,Vestre Ringgade,682
880,MøIIevangsallé,682
881,Sagen,682
882,Byens Gader,685
883,Folkebibliotekets,686
884,Skolevæsenets,688
885,Jens Munks,689
886,Nordvestpassagen,690
887,Vuggestuen,691
888,Plads-Moes-gaard Strand,693
889,Aarhus Idrætspark,694
890,Randers,695
891,Aarhus,695
892,Kolding,697
893,Odense,697
894,Aarhus,697
895,Maribo,697
896,Hallen,698
897,Hallen,698
898,Løsøre,699
899,Vølund,699
900,Aarhus,699
901,Aarhus Kommune,699
902,Aarhushallen,700
903,Hallen,700
904,Hallen,700
905,Aarhus Kommune,700
906,Hallen,701
907,Vald,701
908,. Kloster,701
909,Aarhushal,701
910,Aarhushallen,702
911,Aarhus Kommune,702
912,Hallen,702
913,Aarhus,703
914,Hallen,703
915,Aarhushallen,703
916,Hallen,704
917,Aarhushallen,704
918,Hallen,704
919,Aarhushallen,704
920,Vald Kloster,705
921,Aarhus Kommune,705
922,Ndr. Ringgade,707
923,Grenaavejen,708
924,Stadsingeniørens Kontor,714
925,Aarhus Kommune,718
926,Kommunehospitalet,719
927,Kæmnerkontoret,720
928,Vejlby,720
929,Kæmnerkontoret,720
930,Ejendommen Assensgade 6.,726
931,Kasino,727
932,Aarhus Idrætspark,728
933,Aarhus Kommune,728
934,Væddeløbsbanen,730
935,Rutebilstationen,731
936,Nordre Kirkegaard,732
937,Viby Staalvinduefabrik,733
938,Hasle-Skejby-Lis-bjerg Kommune,736
939,Viby,737
940,Ejendommen,738
941,Markj,738
942,Aarhus kommunale,739
943,Allinggaard,740
944,Astrup,740
945,Tilst,741
946,Virklund,741
947,Aaboulevarden,742
948,Sct. Clemens Bro,742
949,Aaboulevarden,742
950,Sct. Clemens Bro,742
951,Mindebrogade,742
952,Sct. Clemens Bro,742
953,Asfalten,742
954,Gaden,742
955,Clemensbro,742
956,Broen,743
957,Kommunens,744
958,"Klostergade 7,Mejlgade 17",744
959,Grønnegade 30 B.,744
960,Grunden Vestergade 23,745
961,Vestergade 23,745
962,Pladsen,745
963,Bagbygningen,745
964,Vestergade,745
965,Gadens,746
966,Kæmnerkontorets,748
967,Parkallé,749
968,Bero,751
969,Vandrehjemmet,752
970,Riis Skov,752
971,Herberget,752
972,Væddeløbsbanen,753
973,Bornø,753
974,København,753
975,Trambusser,756
976,Bakker,756
977,Aarhus,757
978,Aarhus,757
979,Hotel Royal,758
980,Regina,758
981,Vennelyst,758
982,Casino,758
983,Teatercaféen,758
984,Nørrelyst,758
985,Valencia,758
986,Koncertpalæet,758
987,Aarhushallen,758
988,Varna,758
989,Aarhus,762
990,Aarhus,764
991,Aarhus,764
992,Aarhus,765
993,Aarhus,769
994,Odder,769
995,Aarhus,770
996,S. Ø. S.,770
997,Aarhus,770
998,Aarhus,770
999,Harte,771
1000,Aastrupbro,771
1001,Harte,771
1002,Aastrupbro,771
1003,Harte,771
1004,Aastrupbro,771
1005,F. K.,771
1006,Odder,771
1007,Aarhus,771
1008,F. K.,771
1009,Aarhus,771
1010,Aarhus E,771
1011,Aarhus,771
1012,Aarhus,771
1013,Aarhus,772
1014,Vekselstrøm,773
1015,Aarhus,774
1016,Aastrupbro-Harte,776
1017,Aarhus,777
1018,Sønderjyllands Højspændingværk,778
1019,Samleskinnen,778
1020,Odder Elektricitetsværk,778
1021,Aarhus,778
1022,Aabenraa,778
1023,Johan Langes,780
1024,Kasernelaanet,782
1025,Aarhus Købstadkommune,782
1026,Vilkaar,782
1027,Marselisborg Hospital,783
1028,Aarhus Købstadkommunes,783
1029,Fælleskraftstationen,783
1030,Odder,783
1031,Aarhus Købstadkommune,785
1032,Aarhus Vandværk,785
1033,Aarhus Vandværk,785
1034,Bero,785
1035,Aarhus Købstadkommune,785
1036,Aarhus Vandværk,785
1037,Købstadens,785
1038,Bero,785
1039,Stautrup,786
1040,Aavandsanlæget,786
1041,Aarhus,786
1042,Byens,786
1043,Aarhus Købstadkommune,787
1044,Aarhus Købstadkommune,789
1045,Vilkaar,789
1046,Laan,790
1047,Aarhus Kommune,791
1048,Juni Maaned,791
1049,Aarhus,793
1050,Aarhus,794
1051,Aarhus Cyklebane,796
1052,Aarhus Idrætspark,796
1053,Aarhus Idrætspark,797
1054,Aarhus Kommune,798
1055,Arhus,801
1056,Københavns Kommune,801
1057,Københavns Kommune,801
1058,Aarhus Kommune,801
1059,Gasværket,801
1060,Aalborg,802
1061,Aarhus Idrætspark,805
1062,Syning,806
1063,Aarhus,811
1064,Aarhus,811
1065,Strandvejen,813
1066,Moes-gaard Aa,813
1067,Aarhus Idrætspark,816
1068,Tvangsarbejdsanstalten,823
1069,Horsens,823
1070,Aarhus Vandværk,826
1071,Aarhus Kommunes,826
1072,Aarhus Kommune,827
1073,Aarhus Kommune,827
1074,Skejby,827
1075,Aarhus Vandværk,827
1076,Stautrup,829
1077,Stautrup,831
1078,Stautrupværk,831
1079,Brabrand,831
1080,Marselisborgværket,831
1081,Stautrup,831
1082,Udvindingsstedet,832
1083,Brabrand Sø,832
1084,Banen,832
1085,Engen,832
1086,Søen,832
1087,Kaskadesystemet,832
1088,Søen,832
1089,Pladsen,832
1090,Søen,832
1091,Constantinsborg,832
1092,Marselisborgværket,833
1093,Stautrup,836
1094,Stautrup,836
1095,Aaen,836
1096,Stautrup,836
1097,Stautrup,836
1098,Aarhus,837
1099,Framlev,837
1100,Aarhus,837
1101,Framlev,837
1102,Stautrup,838
1103,Pladsen,838
1104,strøget,838
1105,Ting-og Arresthusets,840
1106,Aarhus Ting-,841
